	Feature	Coefficient
284	msp_0306	0.0017615315299638324
1933	msp_2846	0.0017610336075039629
1030	msp_1170	0.0017610336075039629
1605	msp_2216	0.001752898484695377
1894	msp_2697	0.0017347619156056811
1658	msp_2276	0.0017345383295125911
1731	msp_2384	0.0017264660096902725
1909	msp_2779	0.0017052016014468215
1579	msp_1234	0.0016658038599931594
1840	msp_2578	0.001665368883996242
1107	msp_1274	0.0016611208800363664
1954	msp_2886	0.0016563784359702933
1785	msp_2477	0.0016465516703578413
1944	msp_2868	0.0016386548705766473
639	msp_0701	0.0016253043866692538
891	msp_1003	0.0016202412397004616
1644	msp_2261	0.0016069397195301366
1552	msp_2159	0.0016053934115940933
1979	msp_2935	0.0015913785287046778
1471	msp_1869	0.0015857736764134313
384	msp_0416	0.0015650611284525274
1839	msp_2569	0.0015605929395979422
1768	msp_2438	0.0015491644163618309
1969	msp_2920	0.001539171074458249
191	msp_0205	0.0015367121484599466
1467	msp_1862	0.0015339643404074412
935	msp_1056	0.0015258322614219355
195	msp_0209	0.0015237840976408772
681	msp_0754c	0.001520943948405954
669	msp_0739c	0.0015172902732102933
1776	msp_2452	0.0015109901757561473
1591	msp_1787	0.0015104306183737612
1910	msp_2780	0.001508813683906108
660	msp_0728	0.001488817026301072
57	msp_0061	0.001482922209754525
573	msp_0628	0.0014727511333485857
131	msp_0140	0.001467870277768689
582	msp_0637	0.0014617348478346082
176	msp_0189	0.0014540562361256434
886	msp_0995	0.0014540144069924272
1916	msp_2810	0.0014487797187505264
625	msp_0685	0.001444280897186075
121	msp_0130	0.001442191135182056
1732	msp_2385	0.0014341802191637485
1978	msp_2934	0.001421702342854944
1256	msp_1479	0.0014167920873820912
1801	msp_2504	0.0014117078337401395
431	msp_0466	0.0014108197960056028
497	msp_0542	0.001399433675396753
493	msp_0538	0.001396176529369683
5	msp_0006	0.0013781665721370098
423	msp_0458	0.001376669543077634
511	msp_0559	0.0013746122000312699
135	msp_0144	0.0013654340656848118
1848	msp_2591	0.0013472776943170353
1927	msp_2837	0.0013472776943170353
847	msp_0948	0.0013355653982191362
282	msp_0304	0.0013338441330031146
98	msp_0105	0.001328005365612348
759	msp_0841	0.0013226242504724261
1967	msp_2916	0.0013047420652503945
844	msp_0945	0.0012996688950098509
1990	msp_2949	0.001297544173279518
961	msp_1089	0.001290542284559059
1734	msp_2389	0.0012896533666166261
1786	msp_2478	0.0012819375815850639
956	msp_1082	0.0012605490700675728
1919	msp_2819	0.0012568002343974847
1791	msp_2484	0.0012463970462028738
1709	msp_2356	0.0012402837334277452
1047	msp_1193	0.001240111783129432
1702	msp_2345	0.0012373773372535194
319	msp_0345	0.0012369756785161844
1821	msp_2541	0.001229472697175004
1687	msp_2322	0.0012269108101406628
1645	msp_2262	0.00121860201386472
114	msp_0123	0.0012141799118941
