,0
X200726_at,2.4872577091512826
X200965_s_at,3.520352630585807
X201068_s_at,1.8128608091275173
X201091_s_at,3.247353850138403
X201288_at,8.101976626934965
X201368_at,4.480756739205373
X201663_s_at,5.477219371366382
X201664_at,5.267885631238897
X202239_at,5.331119935134411
X202240_at,8.17012986561633
X202418_at,4.255279365325949
X202687_s_at,4.253917306712804
X203306_s_at,5.522591007006559
X203391_at,8.07361726513508
X204014_at,7.534790437812757
X204015_s_at,5.3618343259223415
X204073_s_at,0.27709576858329765
X204218_at,0.9337645532578359
X204540_at,3.301809785023908
X204631_at,0.9805174449622613
X204740_at,4.326481030008859
X204768_s_at,4.372797545207289
X204888_s_at,0.938348777632086
X205034_at,6.081035817291211
X205848_at,0.11705251801252478
X206295_at,4.03079734986947
X207118_s_at,3.7718206127551603
X208180_s_at,5.01748734868384
X208683_at,1.4381212503914038
X209500_x_at,1.9947138820759924
X209524_at,1.1391970115374357
X209835_x_at,2.1455975166100942
X209862_s_at,1.6263759882416013
X210028_s_at,0.07204544979048644
X210314_x_at,1.4936940095809093
X210593_at,0.23035015150335575
X211040_x_at,5.433761735618547
X211382_s_at,3.0707546269728057
X211762_s_at,3.5382899127018397
X211779_x_at,5.04674684888639
X212014_x_at,2.9066453438243802
X212567_s_at,0.23894586708517082
X214806_at,3.329464502212732
X214915_at,2.5300923187297677
X214919_s_at,4.1131119820059086
X215510_at,1.0279474395699715
X215633_x_at,3.506359274843771
X216010_x_at,1.0904748561616129
X216103_at,2.1649469121915472
X216693_x_at,0.6951128223282554
X217019_at,1.160427072089423
X217102_at,0.3402085187763467
X217404_s_at,1.8838954654370748
X217471_at,1.6524538774899575
X217767_at,1.9351093743392733
X217771_at,2.7403888141877517
X217815_at,0.33982998627630595
X218430_s_at,1.1718947289009172
X218478_s_at,4.122766679103032
X218533_s_at,1.4771485205552206
X218782_s_at,4.353144462489455
X218883_s_at,10.41972719247023
X218914_at,0.3269870035074523
X219340_s_at,2.919910305802161
X219510_at,3.125851674783656
X219588_s_at,1.8394748169646915
X219724_s_at,4.425596564435879
X220886_at,3.3614513953362524
X221028_s_at,4.801928930095759
X221241_s_at,1.8467984427795179
X221344_at,0.1691061471765967
X221634_at,0.8367733141068966
X221816_s_at,2.3986182176886564
X221882_s_at,1.842282222665392
X221916_at,7.029496577312931
X221928_at,5.5706956084128825
age,0.8438427929329735
er_positive,11.770059240818517
grade_intermediate,5.353189208210863
grade_poorly differentiated,8.81907607666347
grade_unkown,1.1821223373402305
size,5.458964881934073
