,0
X200726_at,2.5524470004331357
X200965_s_at,3.921872018999363
X201068_s_at,1.8767840108727405
X201091_s_at,3.9687361170514945
X201288_at,7.0318349501741135
X201368_at,4.7618244136381565
X201663_s_at,5.6770251508967915
X201664_at,5.47376905303187
X202239_at,6.271845267716413
X202240_at,8.252557041715642
X202418_at,3.8419832742129523
X202687_s_at,4.323316134751971
X203306_s_at,6.1053321222462085
X203391_at,7.517258883368205
X204014_at,7.53195236292021
X204015_s_at,4.712631657135128
X204073_s_at,0.31678276751347867
X204218_at,0.9092317968569213
X204540_at,3.262667445775898
X204631_at,0.9176774932060733
X204740_at,4.295211257494511
X204768_s_at,3.727775207812423
X204888_s_at,1.0021313462365242
X205034_at,5.2025657082463415
X205848_at,0.10712869376073617
X206295_at,3.3296483769088945
X207118_s_at,3.99078020693625
X208180_s_at,4.737033879830606
X208683_at,1.360111834521244
X209500_x_at,1.7922712984779718
X209524_at,0.9352312735298265
X209835_x_at,2.155491236843616
X209862_s_at,1.7818262503197848
X210028_s_at,0.08191516516969839
X210314_x_at,1.2591116554385828
X210593_at,0.2338042286448927
X211040_x_at,4.88921643539322
X211382_s_at,3.250233769779139
X211762_s_at,3.784954694080392
X211779_x_at,5.602383617880888
X212014_x_at,3.11885354227767
X212567_s_at,0.23888145694460153
X214806_at,3.3713548557600768
X214915_at,2.6300540657018265
X214919_s_at,4.44933592987382
X215510_at,0.9621104590469356
X215633_x_at,2.7392505803557694
X216010_x_at,1.0014093342348687
X216103_at,2.371780498273301
X216693_x_at,0.6223968801733899
X217019_at,1.2668295386744686
X217102_at,0.39301956242498803
X217404_s_at,1.8178226729634845
X217471_at,1.6450183110008734
X217767_at,1.9662203237860936
X217771_at,2.4543905551957588
X217815_at,0.36667696582509834
X218430_s_at,1.3695491701892621
X218478_s_at,4.1706201183258385
X218533_s_at,1.2400021932401601
X218782_s_at,4.094037402738977
X218883_s_at,11.477057199376874
X218914_at,0.3226974796062854
X219340_s_at,3.3706019638439453
X219510_at,3.1605415122140483
X219588_s_at,1.9350025349489353
X219724_s_at,4.610522719957993
X220886_at,3.6269415525662376
X221028_s_at,4.050937954607087
X221241_s_at,1.5982354911911916
X221344_at,0.15377169531421694
X221634_at,0.9559348721774854
X221816_s_at,2.2127434857274615
X221882_s_at,1.8086046667057405
X221916_at,6.805271517395604
X221928_at,5.83917045412222
age,0.782158380552796
er_positive,11.476163315917741
grade_intermediate,5.2729888351647345
grade_poorly differentiated,8.807223053972589
grade_unkown,1.023336889153961
size,5.935537967085346
