,0
X200726_at,2.520379079191169
X200965_s_at,4.013770430869544
X201068_s_at,1.8448738949871584
X201091_s_at,3.649443748142307
X201288_at,7.247771352352501
X201368_at,4.876429955862245
X201663_s_at,5.650588675511483
X201664_at,5.390138790446939
X202239_at,5.888183081021026
X202240_at,7.882934752203768
X202418_at,3.9816164710921313
X202687_s_at,4.5818206586952455
X203306_s_at,5.928694248955369
X203391_at,7.793610341976445
X204014_at,7.427445709587021
X204015_s_at,4.827382786591037
X204073_s_at,0.3082293512922035
X204218_at,0.9837800458046527
X204540_at,3.4964713837786987
X204631_at,0.8850761629569511
X204740_at,5.365431454889447
X204768_s_at,3.637541694247787
X204888_s_at,0.9363536241096991
X205034_at,5.496664311616318
X205848_at,0.11341882763665816
X206295_at,3.39041594915485
X207118_s_at,3.9411367146588017
X208180_s_at,4.558058129284858
X208683_at,1.4529559847061804
X209500_x_at,1.829371571286635
X209524_at,0.8356051593669269
X209835_x_at,2.303601919815742
X209862_s_at,1.8176438743382795
X210028_s_at,0.07642829577866359
X210314_x_at,1.3780510535333161
X210593_at,0.2484612296216362
X211040_x_at,4.658279399944215
X211382_s_at,3.412027327689506
X211762_s_at,3.696141240928366
X211779_x_at,5.812648830856037
X212014_x_at,3.513120871058894
X212567_s_at,0.23894523220180863
X214806_at,3.127885614513631
X214915_at,2.5661579107882853
X214919_s_at,4.434987278080138
X215510_at,1.0596686239213948
X215633_x_at,2.482566003878246
X216010_x_at,1.0331990298344467
X216103_at,2.2581244816239954
X216693_x_at,0.6009045880179082
X217019_at,1.307030162818422
X217102_at,0.38723530214428037
X217404_s_at,1.6916564554109728
X217471_at,1.5790014575240603
X217767_at,2.114843230779354
X217771_at,2.6014508100123126
X217815_at,0.4013698392163023
X218430_s_at,1.3873484386240993
X218478_s_at,4.190816443015428
X218533_s_at,1.2969782760964808
X218782_s_at,3.9941589957405537
X218883_s_at,11.331644061806454
X218914_at,0.35097860872531295
X219340_s_at,3.6199042157661903
X219510_at,3.2271198090446256
X219588_s_at,1.7915470502424562
X219724_s_at,4.497269554381263
X220886_at,3.6201925391637304
X221028_s_at,4.201333732149251
X221241_s_at,1.808231105284943
X221344_at,0.1828577982909003
X221634_at,1.0721441630210398
X221816_s_at,2.5211906316218844
X221882_s_at,1.7119839966791255
X221916_at,7.084935886036376
X221928_at,5.459479630463411
age,0.7501368597408875
er_positive,11.066583736389477
grade_intermediate,5.272211303704028
grade_poorly differentiated,8.863303781519756
grade_unkown,0.6514117077478897
size,6.128911291350721
