,0
afb_1,1.918715668171191
age,9.637839993678176
av3_1,0.70514311841002
bmi,6.1445639237431955
chf_1,9.281205559058051
cvd_1,0.9265849967576836
diasbp,5.469867404652856
gender_1,1.9502397616596046
hr,4.286245997968017
los,1.2927961244122177
miord_1,1.6788602567349378
mitype_1,2.883818969701507
sho_1,3.795429194787002
sysbp,4.0989001075214775
