	Feature	Coefficient
1835	msp_2564	0.0018697952373422197
1644	msp_2261	0.0018581734410483414
1638	msp_2255	0.0018553982588352992
1751	msp_2409	0.001849204817012571
910	msp_1024	0.0018487582324167732
1149	msp_1333	0.0018487582324167732
1373	msp_1666	0.0018487582324167732
905	msp_1018	0.0018487582324167732
1024	msp_1163	0.0018487582324167732
278	msp_0300	0.0018457393224787025
781	msp_0867	0.0018444870079590756
967	msp_1096	0.0018399132615263543
746	msp_0826	0.0018399132615263543
521	msp_0569	0.0018399132615263543
1860	msp_2619	0.0018399132615263543
1054	msp_1202	0.0018399132615263543
529	msp_0577	0.0018399132615263543
284	msp_0306	0.0018163821891114278
1467	msp_1862	0.001804155508057892
1605	msp_2216	0.0017975194219512131
1930	msp_2842	0.0017954620303550146
1801	msp_2504	0.0017806568151566549
1775	msp_2451	0.0017716626981646017
1802	msp_2505	0.0017626610505539959
1103	msp_1268	0.0017471896376088966
1679	msp_2307	0.0017386500420994032
915	msp_1031	0.0017375423557503629
1909	msp_2779	0.0017245780041746177
582	msp_0637	0.0017175456989107075
1978	msp_2934	0.0016830551833263005
213	msp_0229	0.0016621039745780735
431	msp_0466	0.0016569078234316278
660	msp_0728	0.0016495119938005137
1862	msp_2622	0.0016433238841781666
1937	msp_2851	0.0016370115895921519
1961	msp_2904	0.0016370115895921519
753	msp_0835	0.0016370115895921519
1302	msp_1552	0.0016370115895921519
1752	msp_2410	0.0016370115895921519
1840	msp_2578	0.001624962706185215
131	msp_0140	0.0016150775343292652
114	msp_0123	0.0016037325505459227
1791	msp_2484	0.001598282826983666
1591	msp_1787	0.0015707623584410807
1872	msp_2639	0.0015635063808825363
176	msp_0189	0.0015609710254472812
1785	msp_2477	0.0015555938248999856
98	msp_0105	0.0015438446816257718
1713	msp_2361	0.0015279695476320197
1780	msp_2459	0.0015279695476320197
1703	msp_2346	0.0015279695476320197
1818	msp_2536	0.0015279695476320197
1739	msp_2394	0.0015279695476320197
1812	msp_2523	0.0015279695476320197
1619	msp_2232	0.0015279695476320197
1809	msp_2515	0.0015279695476320197
1908	msp_2769	0.0015279695476320197
1883	msp_2668	0.0015279695476320197
1663	msp_2285	0.0015279695476320197
1688	msp_2323	0.0015279695476320197
1876	msp_2647	0.0015279695476320197
1753	msp_2416	0.0015279695476320197
1912	msp_2793	0.0015279695476320197
1757	msp_2421	0.0015279695476320197
1758	msp_2422	0.0015279695476320197
1733	msp_2387	0.0015279695476320197
1869	msp_2633	0.0015279695476320197
1771	msp_2441	0.0015279695476320197
1932	msp_2845	0.0015279695476320197
1861	msp_2620	0.0015279695476320197
1636	msp_2253	0.0015279695476320197
1857	msp_2611	0.0015279695476320197
1856	msp_2607	0.0015279695476320197
1672	msp_2296	0.0015279695476320197
1699	msp_2342	0.0015279695476320197
1957	msp_2890	0.0015279695476320197
933	msp_1053	0.0015253649163086637
364	msp_0393	0.0015200801383076525
1969	msp_2920	0.0015181298881776263
1731	msp_2384	0.0015144688948454214
1614	msp_2226	0.001505831320950284
1839	msp_2569	0.0014971912483318804
57	msp_0061	0.0014934684013123687
121	msp_0130	0.0014903679326900236
1200	msp_1399	0.0014892168189240928
669	msp_0739c	0.0014883254694826055
1256	msp_1479	0.001487539188939289
191	msp_0205	0.001484886338431297
1658	msp_2276	0.0014834387208954726
1894	msp_2697	0.001481017815343879
1916	msp_2810	0.0014755849447128026
1136	msp_1313	0.0014370472324199961
1979	msp_2935	0.001426551690449981
490	msp_0535	0.0014061258231703603
1618	msp_2230	0.0014032833439181897
